Date,AssetName,Market,Source,Open,High,Low,Close,Volume,Value,Return_1D,Return_5D,Return_20D,Return_60D,Return_120D,Return_240D,MA30,MA60,MA120,MA30_Above_MA60,MA60_Above_MA120,MA_Alignment,Close_to_MA30,Close_to_MA60,Close_to_MA120,High_52W,Drawdown_52W,Volatility_20D,Volatility_60D,RSI14,MACD,MACD_Signal,MACD_Hist,MACD_GoldenCross,ROC60,Volume_MA20,Volume_Ratio_20D,AssetCode,Foreign,Institution,Foreign_5D,Foreign_20D,Institution_5D,Institution_20D,TotalFlow,TotalFlow_5D,TotalFlow_20D,RS_vs_KOSPI,RS_vs_KOSPI_Return_20D,RS_vs_KOSPI_Return_60D,RS_vs_NASDAQ,RS_vs_NASDAQ_Return_20D,RS_vs_NASDAQ_Return_60D,RS_vs_SP500,RS_vs_SP500_Return_20D,RS_vs_SP500_Return_60D
2024-08-08,S&P 500,US_INDEX,yfinance,5252.56982421875,5328.02978515625,5233.85009765625,5319.31005859375,4016830000,,0.023042611519136447,-0.023384908435390317,-0.047493612475428715,0.018747800058876996,0.05757368273237051,0.21547833388729698,5483.928694661458,5420.207836914063,5274.798999023437,1,1,1,-0.03001837646575578,-0.01861511243778391,0.008438437100362073,5667.2001953125,-0.061386597390100994,0.013525770741339618,0.008884150187390917,40.24624141240512,-58.59703596716008,-26.762556487812716,-31.834479479347365,0,0.018747800058876996,4129604500.0,0.9726912105021195,^GSPC,,,,,,,,,,,,,,,,,,
2024-08-08,NASDAQ Composite,US_INDEX,yfinance,16408.26953125,16694.25,16262.9296875,16660.01953125,5815880000,,0.028662349907374374,-0.031064684630549233,-0.08879036301907062,0.016583799907017083,0.04739353427491477,0.23737797021202067,17672.55830078125,17419.06131184896,16742.735400390626,1,1,1,-0.057294408217427595,-0.04357535500966614,-0.004940403533982618,18647.44921875,-0.10657917145588147,0.01849996934153867,0.012779989426219864,37.21044193105205,-356.81338945723473,-209.614893844017,-147.19849561321774,0,0.016583799907017083,5823645500.0,0.9986665568843434,^IXIC,,,,,,,,,,,,,,,,,,
2024-08-09,SK Hynix,KR_STOCK,FinanceDataReader,172800.0,172800.0,168800.0,171500.0,5141277,,0.049571603427172484,-0.009815242494226273,-0.26394849785407726,-0.1113989637305699,0.15332885003362473,0.49390243902439024,207663.33333333334,209621.66666666666,190732.5,0,1,0,-0.1741440472559752,-0.18185938158428272,-0.100834938985228,241000.0,-0.2883817427385892,0.04572096429100142,0.03370535924689704,34.15326395458847,-14593.157748357422,-11643.580315569818,-2949.5774327876043,0,-0.1113989637305699,7195101.3,0.714552413598402,000660,975806.0,140992.0,-679695.0,-11606843.0,208042.0,399812.0,1116798.0,-471653.0,-11207031.0,66.25637934964438,-0.18757735707324474,-0.049376217463780736,,,,,,
2024-08-09,Samsung Electronics,KR_STOCK,FinanceDataReader,75700.0,75800.0,74200.0,74700.0,16388222,,0.017711171662125436,-0.061557788944723635,-0.11492890995260663,-0.04475703324808189,0.023287671232876672,0.11994002998500752,82340.0,80193.33333333333,78854.16666666667,1,1,1,-0.09278600923002189,-0.06850112228780436,-0.052681638044914214,87800.0,-0.14920273348519364,0.030852843626540064,0.02276280823285005,34.45692883895131,-2338.7469678040943,-1241.965019999881,-1096.7819478042134,0,-0.04475703324808189,23109572.5,0.709152971133499,005930,562102.0,-21816.0,-20697715.0,-26814035.0,-15431548.0,-19576376.0,540286.0,-36129263.0,-46390411.0,28.85919263800837,-0.023095813189692893,0.01589578094793742,,,,,,
2024-08-09,Hanmi Semiconductor,KR_STOCK,FinanceDataReader,110900.0,114600.0,107300.0,108500.0,1644085,,0.03431839847473794,-0.0597920277296361,-0.32398753894081,-0.24705065926439973,0.4370860927152318,1.2256410256410257,143700.0,153758.33333333334,135051.66666666666,0,1,0,-0.24495476687543494,-0.2943471898542085,-0.19660376892794107,189000.0,-0.42592592592592593,0.044391286568443065,0.039700410907338717,21.126760563380273,-14351.727967521016,-11660.90780206173,-2690.820165459285,0,-0.24705065926439973,1520880.25,1.0810088433984202,042700,-159591.0,44742.0,20537.0,39788.0,34913.0,-164481.0,-114849.0,55450.0,-124693.0,41.91730122120359,-0.253845921563996,-0.18364033414356173,,,,,,
2024-08-09,KOSDAQ,KR_INDEX,FinanceDataReader,759.91,768.21,759.91,764.43,843851627,,0.025695040790038703,-0.01911898682201385,-0.10106189070639848,-0.12171834966738293,-0.11031063418721854,-0.13725113990339044,812.565,831.7576666666668,852.0371666666667,0,0,0,-0.059238337856048595,-0.08094625317550441,-0.10282082765168898,928.4,-0.17661568289530383,0.0329946060130817,0.019979039984102085,40.860733068368845,-25.08920866974381,-20.595993845265347,-4.493214824478464,0,-0.12171834966738293,877816550.7,0.9613074922397905,KQ11,,,,,,,,,,,,,,,,,,
2024-08-09,USD/KRW,FX,yfinance,1373.760009765625,1377.06005859375,1360.6500244140625,1373.760009765625,0,,-0.0011415051945542487,0.003499009594812197,0.0018158278084619006,0.020593719279280664,0.03510474489147852,0.02978965056936622,1378.8616739908855,1376.7596740722656,1363.8180898030598,1,1,1,-0.0036999100935879436,-0.0021787857119376364,0.007289769828467962,1393.3800048828125,-0.01408086455125901,0.004468078775098294,0.0042492799714934455,37.26074503304415,-2.670909032759937,-1.7674810263274505,-0.9034280064324864,0,0.020593719279280664,0.0,,KRW=X,,,,,,,,,,,,,,,,,,
2024-08-09,KOSPI,KR_INDEX,FinanceDataReader,2603.08,2603.08,2575.9,2588.43,475012051,,0.01239864983787875,-0.032792888397311204,-0.09400420021001055,-0.0597784235379587,-0.009706174917744392,0.02721590570867316,2758.085,2744.6085000000003,2715.4698333333336,1,1,1,-0.06151188233865168,-0.05690374419521049,-0.046783739511253586,2891.35,-0.10476766908191681,0.024441671399871218,0.015779026109951386,37.53879003558714,-62.191768053543,-39.97521356703833,-22.21655448650467,0,-0.0597784235379587,512338347.8,0.9271452215898331,KS11,,,,,,,,,,,,,,,,,,
2024-08-09,VanEck Semiconductor ETF,US_ETF,yfinance,224.6999969482422,226.49000549316406,221.38999938964844,224.85000610351562,7241700,,-0.0002667625166370424,0.02939162955182484,-0.18072510073747017,-0.009820308743867967,0.11449817151680608,0.5081495179188686,249.7603327433268,250.5456667582194,234.42866655985515,0,1,0,-0.09973692125647105,-0.1025587909269271,-0.04085959535965655,281.2699890136719,-0.20059012732927506,0.03950079828258793,0.02753577555384926,35.13880679306388,-10.66513104472807,-8.71138536686681,-1.95374567786126,0,-0.009820308743867967,12251700.0,0.5910771566394868,SMH,,,,,,,,,,,,,0.01342764809308675,-0.09984372169915823,-0.02691273531762084,0.04207396476330399,-0.13915091406816182,-0.03092466479025291
2024-08-09,iShares Semiconductor ETF,US_ETF,yfinance,211.49000549316406,213.67999267578125,208.75,211.77999877929688,3454500,,-0.005914356677357069,0.024031726122403896,-0.18511683080329489,-0.056112655933851285,0.016348838290694445,0.30806445730110465,237.12633310953777,239.23799896240234,228.9848606109619,0,1,0,-0.10688958074737509,-0.11477273803573596,-0.0751353682761392,265.489990234375,-0.20230514682554646,0.039599145022289034,0.02684324533114714,33.57169616558872,-10.557956448456707,-8.46799797807279,-2.089958470383918,0,-0.056112655933851285,6076225.0,0.5685273339943797,SOXX,,,,,,,,,,,,,0.012647130173763768,-0.10466901708525289,-0.07540466842325366,0.03962830315472862,-0.14376550291523593,-0.0792166711034259
